DEVCLASS,COMPONENT,PARENTCL,CTEXT
$ENQ,,,Generated ENQUEUE Function Modules
$GEN,,,
$HV,,,Generated Help View Program
$MC,,,Generated Matchcode Programs/Functions
$TMP,,,Temporary Objects (never transported!)
/1WDA/SWDP_NAMESPACE_TESTS,B200001558,SWDP_TEST,Namespace Tests for Web Dynpro
/1WDA/URD2,B200001491,SWDP_UIE_LIBRARIES,
/ASU/GMT,B200003468,/ASU/MAIN_PACKAGE,ASU: General Maintenance Tool
/ASU/MAIN,B200003468,/ASU/MAIN_PACKAGE,Application-Specific Upgrade
/ASU/MAIN_6X,B200003468,/ASU/MAIN_PACKAGE,Application-Specific Upgrade
/ASU/MAIN_DDIC,B200003468,/ASU/MAIN_PACKAGE,Application-Specific Upgrade: DDIC
/ASU/MAIN_PACKAGE,B200003468,BSTPI_STRUCTURE,Main package for /ASU/
/ASU/STRUCTURE,B200003468,,Structure Package for ASU Development
/ASU/TOOLS,B200003468,/ASU/MAIN_PACKAGE,Application Specific Upgrade: Tools
/ASU/TOOLS_6X,B200003468,/ASU/MAIN_PACKAGE,Application Specific Upgrade: Tools
/ASU/TOOLS_DDIC,B200003468,/ASU/MAIN_PACKAGE,Application Specific Upgrade: Tools DDIC
/B2S/DASHBOARD,B200001818,BSTPI_STRUCTURE,B2S Dashboard APIs
/BDL/BDL3N,B200001818,/BDL/MAIN,Already existing objects of SDCC in release 4*
/BDL/BDL6,B200001818,/BDL/MAIN,Service data download (releaseindependend)
/BDL/MAIN,B200001818,BSTPI_STRUCTURE,Main package for /BDL/
/BDL/STPI_STRUCTURE,B200001818,,Strukturpaket ST-PI
/BDL/TASKMANAGER,B200001818,/BDL/MAIN,Task Manager
/BDL/TASKMANAGER_6XX,B200001818,/BDL/MAIN,Task Manager (Release 6.xx dependent part)
/BDTS/BASE_EXTRACTOR,SAL0000291,/BDTS/MAIN,Base Extractor Package: Business & Data Transformation
/BDTS/COMMON,SAL0000291,/BDTS/MAIN,Common Package: Business & Data Transformation
