,qualified_name,output_old_func,output_new_func,old_qualified_name,new_qualified_name,old_new_compare,old_compare,new_compare
0,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/mount/aafacility,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '2d7d0da6-83c6-4f91-8236-1cf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'aafacility', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/mount/aafacility', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712690658026, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1649964999886, 'name': 'aafacility', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>mount</em>/<em>aafacility</em>'], 'name': ['<em>aafacility</em>'], 'displayText': ['<em>aafacility</em>'], '__hitKeywords': ['analytics', 'aafacility', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mount', 'mssql', 'hbi']}, '@search.score': 4228.442}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '2d7d0da6-83c6-4f91-8236-1cf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'aafacility', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/mount/aafacility', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712690658026, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1649964999886, 'name': 'aafacility', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>mount</em>/<em>aafacility</em>'], 'name': ['<em>aafacility</em>'], 'displayText': ['<em>aafacility</em>'], '__hitKeywords': ['analytics', 'aafacility', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mount', 'mssql', 'hbi']}, '@search.score': 4228.442}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/mount/aafacility,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/mount/aafacility,1,1,1
1,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/AR/AccountsReceivable,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'ac07d0f5-18e8-414e-b449-edf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'AccountsReceivable', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/AR/AccountsReceivable', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712690118402, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684534852339, 'name': 'AccountsReceivable', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>AR</em>/<em>AccountsReceivable</em>'], 'name': ['<em>AccountsReceivable</em>'], 'displayText': ['<em>AccountsReceivable</em>'], '__hitKeywords': ['analytics', 'AR', 'qa01', 'Receivable', 'AccountsReceivable', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Accounts']}, '@search.score': 4209.755}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'ac07d0f5-18e8-414e-b449-edf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'AccountsReceivable', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/AR/AccountsReceivable', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712690118402, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684534852339, 'name': 'AccountsReceivable', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>AR</em>/<em>AccountsReceivable</em>'], 'name': ['<em>AccountsReceivable</em>'], 'displayText': ['<em>AccountsReceivable</em>'], '__hitKeywords': ['analytics', 'AR', 'qa01', 'Receivable', 'AccountsReceivable', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Accounts']}, '@search.score': 4209.755}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/AR/AccountsReceivable,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/AR/AccountsReceivable,1,1,1
2,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/ALL_UPC_Preferred,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '77cf964e-39e1-47e0-b922-baf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'ALL_UPC_Preferred', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/ALL_UPC_Preferred', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692818064, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1712692818064, 'name': 'ALL_UPC_Preferred', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>ALL_UPC_Preferred</em>'], 'name': ['<em>ALL_UPC_Preferred</em>'], 'displayText': ['<em>ALL_UPC_Preferred</em>'], '__hitKeywords': ['analytics', 'Preferred', 'ALL', 'Explore', 'qa01', 'UPC', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'ALL_UPC_Preferred']}, '@search.score': 4881.7554}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '77cf964e-39e1-47e0-b922-baf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'ALL_UPC_Preferred', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/ALL_UPC_Preferred', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692818064, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1712692818064, 'name': 'ALL_UPC_Preferred', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>ALL_UPC_Preferred</em>'], 'name': ['<em>ALL_UPC_Preferred</em>'], 'displayText': ['<em>ALL_UPC_Preferred</em>'], '__hitKeywords': ['analytics', 'Preferred', 'ALL', 'Explore', 'qa01', 'UPC', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'ALL_UPC_Preferred']}, '@search.score': 4881.7554}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/ALL_UPC_Preferred,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/ALL_UPC_Preferred,1,1,1
3,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/All_UPC_Preferred_s4test,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '53b06b87-c161-4a51-a413-daf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'All_UPC_Preferred_s4test', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/All_UPC_Preferred_s4test', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712693720012, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684536656663, 'name': 'All_UPC_Preferred_s4test', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>All_UPC_Preferred_s4test</em>'], 'name': ['<em>All_UPC_Preferred_s4test</em>'], 'displayText': ['<em>All_UPC_Preferred_s4test</em>'], '__hitKeywords': ['analytics', 'All', 'Preferred', 'stage', 'test', 'qa01', 'UPC', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'All_UPC_Preferred_s4test']}, '@search.score': 5021.875}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '53b06b87-c161-4a51-a413-daf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'All_UPC_Preferred_s4test', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/All_UPC_Preferred_s4test', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712693720012, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684536656663, 'name': 'All_UPC_Preferred_s4test', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>All_UPC_Preferred_s4test</em>'], 'name': ['<em>All_UPC_Preferred_s4test</em>'], 'displayText': ['<em>All_UPC_Preferred_s4test</em>'], '__hitKeywords': ['analytics', 'All', 'Preferred', 'stage', 'test', 'qa01', 'UPC', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'All_UPC_Preferred_s4test']}, '@search.score': 5021.875}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/All_UPC_Preferred_s4test,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/All_UPC_Preferred_s4test,1,1,1
4,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_FcstInvPln,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '0fab5cd4-eea5-4a40-9e9f-01f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_FcstInvPln', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_FcstInvPln', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712693359124, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533393865, 'name': 'Amz_FcstInvPln', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_FcstInvPln</em>'], 'name': ['<em>Amz_FcstInvPln</em>'], 'displayText': ['<em>Amz_FcstInvPln</em>'], '__hitKeywords': ['analytics', 'Inv', 'Explore', 'Pln', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'Amz_FcstInvPln', 'mssql', 'hbi', 'Amz', 'Fcst']}, '@search.score': 4899.243}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '0fab5cd4-eea5-4a40-9e9f-01f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_FcstInvPln', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_FcstInvPln', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712693359124, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533393865, 'name': 'Amz_FcstInvPln', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_FcstInvPln</em>'], 'name': ['<em>Amz_FcstInvPln</em>'], 'displayText': ['<em>Amz_FcstInvPln</em>'], '__hitKeywords': ['analytics', 'Inv', 'Explore', 'Pln', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'Amz_FcstInvPln', 'mssql', 'hbi', 'Amz', 'Fcst']}, '@search.score': 4899.243}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_FcstInvPln,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_FcstInvPln,1,1,1
5,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_FcstInvPln,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'e260a82d-605d-43f5-b1aa-9bf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_FcstInvPln', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_FcstInvPln', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694261411, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684535396232, 'name': 'Amz_FcstInvPln', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_FcstInvPln</em>'], 'name': ['<em>Amz_FcstInvPln</em>'], 'displayText': ['<em>Amz_FcstInvPln</em>'], '__hitKeywords': ['analytics', 'Inv', 'Pln', 'stage', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'Amz_FcstInvPln', 'mssql', 'hbi', 'Amz', 'Fcst']}, '@search.score': 4758.993}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'e260a82d-605d-43f5-b1aa-9bf6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_FcstInvPln', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_FcstInvPln', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694261411, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684535396232, 'name': 'Amz_FcstInvPln', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_FcstInvPln</em>'], 'name': ['<em>Amz_FcstInvPln</em>'], 'displayText': ['<em>Amz_FcstInvPln</em>'], '__hitKeywords': ['analytics', 'Inv', 'Pln', 'stage', 'qa01', 'hbiqa01dw', 'dwsrv.database.windows.net', 'Amz_FcstInvPln', 'mssql', 'hbi', 'Amz', 'Fcst']}, '@search.score': 4758.993}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_FcstInvPln,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_FcstInvPln,1,1,1
6,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_InvHealth,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '766f2cdb-9b92-4669-8e38-72f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_InvHealth', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_InvHealth', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694075878, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684540618087, 'name': 'Amz_InvHealth', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_InvHealth</em>'], 'name': ['<em>Amz_InvHealth</em>'], 'displayText': ['<em>Amz_InvHealth</em>'], '__hitKeywords': ['analytics', 'Inv', 'stage', 'qa01', 'Health', 'Amz_InvHealth', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 4794.2783}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '766f2cdb-9b92-4669-8e38-72f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_InvHealth', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_InvHealth', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694075878, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684540618087, 'name': 'Amz_InvHealth', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_InvHealth</em>'], 'name': ['<em>Amz_InvHealth</em>'], 'displayText': ['<em>Amz_InvHealth</em>'], '__hitKeywords': ['analytics', 'Inv', 'stage', 'qa01', 'Health', 'Amz_InvHealth', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 4794.2783}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_InvHealth,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_InvHealth,1,1,1
7,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_InvHealth,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'afeefd0b-a512-4588-87a3-68f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_InvHealth', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_InvHealth', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692998420, 'classification': ['MICROSOFT.PERSONAL.PHYSICALADDRESS'], 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533219978, 'name': 'Amz_InvHealth', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_InvHealth</em>'], 'name': ['<em>Amz_InvHealth</em>'], 'displayText': ['<em>Amz_InvHealth</em>'], '__hitKeywords': ['analytics', 'Inv', 'Explore', 'qa01', 'Health', 'Amz_InvHealth', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 5101.7305}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'afeefd0b-a512-4588-87a3-68f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_InvHealth', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_InvHealth', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692998420, 'classification': ['MICROSOFT.PERSONAL.PHYSICALADDRESS'], 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533219978, 'name': 'Amz_InvHealth', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_InvHealth</em>'], 'name': ['<em>Amz_InvHealth</em>'], 'displayText': ['<em>Amz_InvHealth</em>'], '__hitKeywords': ['analytics', 'Inv', 'Explore', 'qa01', 'Health', 'Amz_InvHealth', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 5101.7305}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_InvHealth,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_InvHealth,1,1,1
8,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_SalesDiagnostic,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'ff082a50-a44b-4d73-b256-84f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_SalesDiagnostic', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_SalesDiagnostic', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694261318, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684540589789, 'name': 'Amz_SalesDiagnostic', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_SalesDiagnostic</em>'], 'name': ['<em>Amz_SalesDiagnostic</em>'], 'displayText': ['<em>Amz_SalesDiagnostic</em>'], '__hitKeywords': ['analytics', 'Sales', 'stage', 'qa01', 'Amz_SalesDiagnostic', 'Diagnostic', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 4702.26}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': 'ff082a50-a44b-4d73-b256-84f6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_SalesDiagnostic', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_SalesDiagnostic', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712694261318, 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684540589789, 'name': 'Amz_SalesDiagnostic', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>stage</em>/<em>Amz_SalesDiagnostic</em>'], 'name': ['<em>Amz_SalesDiagnostic</em>'], 'displayText': ['<em>Amz_SalesDiagnostic</em>'], '__hitKeywords': ['analytics', 'Sales', 'stage', 'qa01', 'Amz_SalesDiagnostic', 'Diagnostic', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 4702.26}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_SalesDiagnostic,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/stage/Amz_SalesDiagnostic,1,1,1
9,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_SalesDiagnostic,"{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '831e0b62-2104-49b4-a5e4-2af6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_SalesDiagnostic', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_SalesDiagnostic', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692637637, 'classification': ['MICROSOFT.PERSONAL.PHYSICALADDRESS'], 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533218795, 'name': 'Amz_SalesDiagnostic', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_SalesDiagnostic</em>'], 'name': ['<em>Amz_SalesDiagnostic</em>'], 'displayText': ['<em>Amz_SalesDiagnostic</em>'], '__hitKeywords': ['analytics', 'Explore', 'Sales', 'qa01', 'Amz_SalesDiagnostic', 'Diagnostic', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 5018.561}","{'objectType': 'Tables', 'updateBy': 'ServiceAdmin', 'id': '831e0b62-2104-49b4-a5e4-2af6f6f60000', 'collectionId': 'e3wy8a', 'displayText': 'Amz_SalesDiagnostic', 'isIndexed': True, 'qualifiedName': 'mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_SalesDiagnostic', 'entityType': 'azure_sql_dw_table', 'updateTime': 1712692637637, 'classification': ['MICROSOFT.PERSONAL.PHYSICALADDRESS'], 'assetType': ['Azure SQL Data Warehouse'], 'createBy': 'ServiceAdmin', 'createTime': 1684533218795, 'name': 'Amz_SalesDiagnostic', '@search.highlights': {'qualifiedName': ['<em>mssql</em>://<em>hbi</em>-<em>qa01</em>-<em>analytics</em>-<em>dwsrv.database.windows.net</em>/<em>hbiqa01dw</em>/<em>Explore</em>/<em>Amz_SalesDiagnostic</em>'], 'name': ['<em>Amz_SalesDiagnostic</em>'], 'displayText': ['<em>Amz_SalesDiagnostic</em>'], '__hitKeywords': ['analytics', 'Explore', 'Sales', 'qa01', 'Amz_SalesDiagnostic', 'Diagnostic', 'hbiqa01dw', 'dwsrv.database.windows.net', 'mssql', 'hbi', 'Amz']}, '@search.score': 5018.561}",mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_SalesDiagnostic,mssql://hbi-qa01-analytics-dwsrv.database.windows.net/hbiqa01dw/Explore/Amz_SalesDiagnostic,1,1,1
