,EntityName,EntityColumn,EntityColumnDescription
0,124507_DEVSTY,Brand_GLO_S ,
1,124507_DEVSTY,Brand_GLO_S_Picklist,Brand GLO S Picklist
2,124507_DEVSTY,Gender_GLO_S ,
3,124507_DEVSTY,Product_Region_GLO_S ,
4,124507_DEVSTY,Source_System_GLO_S ,
5,124507_DEVSTY,UOM_GLO_S ,
6,124507_DEVSTY,Magento_Salsify_Product_Creation_Date_USA_A,Magento Salsify Product Creation Date USA A
7,124507_DEVSTY,Workflow_Inheritance_Level_GLO_A,Workflow Inheritance Level GLO A
8,124507_DEVSTY,salsify:data_inheritance_hierarchy_level_id,
9,124507,Style_GLO_S ,
10,124507,Brand_Group_USA_S ,
11,124507,Business_Unit_USA_S,Business Unit USA S
12,124507,Category_USA_S ,
13,124507,Category_USA_S_Picklist,Category USA S Picklist
14,124507,Commission_Group_USA_S ,
15,124507,Digital_Merch_Group_USA_M,Digital Merch Group USA M
16,124507,Division_Code_USA_M,Division Code USA M
17,124507,Division_Code_USA_S,Division Code USA S
18,124507,Gender_Category_USA_S ,
19,124507,Gender_Category_USA_S_Picklist,Gender Category USA S Picklist
20,124507,Product_Group_USA_S ,
21,124507,Product_Group_USA_S_Picklist,Product Group USA S Picklist
22,124507,Silhouette_USA_S ,
23,124507,Sub_Brand_USA_S ,
24,124507,Sub_Category_USA_S ,
25,124507,Attribute_Code_USA_S ,
26,124507,Magento_Style_Plus_Attribute_USA_A,Magento Style Plus Attribute USA A
27,124507,Magento_Attribute_Set_Code_USA_M,Magento Attribute Set Code USA M
28,124507,Magento_Catalog_Visibility_USA_A,Magento Catalog Visibility USA A
29,124507,Magento_Configurable_Attributes_USA_A,Magento Configurable Attributes USA A
30,124507,Magento_Country_of_Origin_USA_M,Magento Country of Origin USA M
31,124507,Magento_Fiber_Type_USA_M,Magento Fiber Type USA M
32,124507,Magento_Product_Add_Update_Status_USA_A,Magento Product Add Update Status USA A
33,124507,Magento_Product_Category_Group_USA_A,Magento Product Category Group USA A
34,124507,Magento_Product_Gender_USA_A,Magento Product Gender USA A
35,124507,Magento_Product_Name_USA_A ,
36,124507,Magento_Product_Name_USA_A ,
37,124507,Magento_Product_Online_USA_A,Magento Product Online USA A
38,124507,Magento_Product_Type_USA_A,Magento Product Type USA A
39,124507,Magento_Salsify_Product_Creation_Date_USA_A,Magento Salsify Product Creation Date USA A
40,124507,Magento_SKU_USA_A,Magento SKU USA A
41,124507,Magento_Tax_Code_USA_M,Magento Tax Code USA M
42,124507,Magento_Units_Per_Pack_USA_A,Magento Units Per Pack USA A
43,124507,Magento_UPC_USA_A,Magento UPC USA A
44,124507,Magento_URL_Key_USA_A,Magento URL Key USA A
45,124507,Workflow_Inheritance_Level_GLO_A,Workflow Inheritance Level GLO A
46,124507,TEST_New_Property_Magento,TEST_New_Property_Magento
47,124507,salsify:parent_id,
48,124507,salsify:data_inheritance_hierarchy_level_id,
49,124507_LF1,NRF_Color_Code_USA_S ,
50,124507_LF1,Color_Code_GLO_S ,
51,124507_LF1,Color_Desc_GLO_S ,
52,124507_LF1,Magento_Product_Type_GLO_A,Magento Product Type GLO A
53,124507_LF1,Magento_SKU_GLO_A ,
54,124507_LF1,Magento_Style_Plus_Attribute_USA_A,Magento Style Plus Attribute USA A
55,124507_LF1,Magento_Salsify_Product_Creation_Date_USA_A,Magento Salsify Product Creation Date USA A
56,124507_LF1,Workflow_Inheritance_Level_GLO_A,Workflow Inheritance Level GLO A
57,124507_LF1,salsify:parent_id,
58,124507_LF1,salsify:data_inheritance_hierarchy_level_id,
59,722691109687,Case_GTIN_USA_S,Case GTIN USA S
60,722691109687,Embellishment_Code_USA_S,Embellishment Code USA S
61,722691109687,Grid_Value_USA_S ,
62,722691109687,Material_Num_USA_S ,
63,722691109687,UPC_GLO_S ,
64,722691109687,ERP_Status_USA_S,ERP Status USA S
65,722691109687,Fiber_Type_GLO_S ,
66,722691109687,Material_Desc_USA_S ,
67,722691109687,NRF_Size_Code_USA_S ,
68,722691109687,Compact_Size_Desc_GLO_S ,
69,722691109687,Size_Code_USA_S ,
70,722691109687,Size_Desc_GLO_S ,
71,722691109687,Case_Height_USA_S,Case Height USA S
72,722691109687,Case_Length_USA_S,Case Length USA S
73,722691109687,Case_Qty_USA_S ,
74,722691109687,Case_Weight_USA_S,Case Weight USA S
75,722691109687,Case_Width_USA_S,Case Width USA S
76,722691109687,Country_of_Origin_Code_GLO_S ,
77,722691109687,Country_of_Origin_GLO_S ,
78,722691109687,Package_Height_USA_S,Package Height USA S
79,722691109687,Package_Length_USA_S,Package Length USA S
80,722691109687,Package_Weight_USA_S,Package Weight USA S
