,asset_name,level_name,parent_name
0,124507_DEVSTY,parent_style,Root
1,124507,selling_style,124507_DEVSTY
2,124507_LF1,color_style,124507
3,722691109687,size_style,124507_LF1
4,722691109670,size_style,124507_LF1
5,722691109694,size_style,124507_LF1
6,722691112038,size_style,124507_LF1
7,GF937_Y07971_DEVSTY,parent_style,Root
8,GF937_Y07971,selling_style,GF937_Y07971_DEVSTY
9,GF937_Y07971_001,color_style,GF937_Y07971
10,192503599126,size_style,GF937_Y07971_001
11,192503599157,size_style,GF937_Y07971_001
12,192503599171,size_style,GF937_Y07971_001
13,192503599133,size_style,GF937_Y07971_001
14,192503599140,size_style,GF937_Y07971_001
15,192503599164,size_style,GF937_Y07971_001
16,M20402_DEVSTY,parent_style,Root
17,M20402,selling_style,M20402_DEVSTY
18,M20402_AGQD,color_style,M20402
19,889835273526,size_style,M20402_AGQD
20,889835273533,size_style,M20402_AGQD
21,889835273762,size_style,M20402_AGQD
22,889835273502,size_style,M20402_AGQD
23,889835273519,size_style,M20402_AGQD
24,GT78H_Y08160_DEVSTY,parent_style,Root
25,GT78H_Y08160,selling_style,GT78H_Y08160_DEVSTY
26,GT78H_Y08160_045,color_style,GT78H_Y08160
27,194164786266,size_style,GT78H_Y08160_045
28,194164786228,size_style,GT78H_Y08160_045
29,194164786235,size_style,GT78H_Y08160_045
30,194164786242,size_style,GT78H_Y08160_045
31,194164786259,size_style,GT78H_Y08160_045
32,GJ43_Y02973_DEVSTY,parent_style,Root
33,GJ43_Y02973,selling_style,GJ43_Y02973_DEVSTY
34,GJ43_Y02973_EIC,color_style,GJ43_Y02973
35,011919845682,size_style,GJ43_Y02973_EIC
36,011919845699,size_style,GJ43_Y02973_EIC
37,011919847907,size_style,GJ43_Y02973_EIC
38,011919847921,size_style,GJ43_Y02973_EIC
39,011919847914,size_style,GJ43_Y02973_EIC
40,45UVBB_DEVSTY,parent_style,Root
41,45UVBB,selling_style,45UVBB_DEVSTY
42,45UVBB_AIVO,color_style,45UVBB
43,196062482110,size_style,45UVBB_AIVO
44,196062482134,size_style,45UVBB_AIVO
45,196062482141,size_style,45UVBB_AIVO
46,196062482127,size_style,45UVBB_AIVO
47,196062482158,size_style,45UVBB_AIVO
48,P551WH_DEVSTY,parent_style,Root
49,P551WH,selling_style,P551WH_DEVSTY
50,P551WH_00D,color_style,P551WH
51,043935725242,size_style,P551WH_00D
52,7850_DEVSTY,parent_style,Root
53,7850,selling_style,7850_DEVSTY
54,7850_PHM,color_style,7850
55,011919407989,size_style,7850_PHM
56,011919407972,size_style,7850_PHM
57,011919407965,size_style,7850_PHM
58,011919407996,size_style,7850_PHM
59,P4140_549418_DEVSTY,parent_style,Root
60,P4140_549418,selling_style,P4140_549418_DEVSTY
61,P4140_549418_4PI,color_style,P4140_549418
62,738994402769,size_style,P4140_549418_4PI
63,738994402738,size_style,P4140_549418_4PI
64,738994402752,size_style,P4140_549418_4PI
65,738994402714,size_style,P4140_549418_4PI
66,738994402745,size_style,P4140_549418_4PI
67,738994479839,size_style,P4140_549418_4PI
68,738994402721,size_style,P4140_549418_4PI
69,826940_DEVSTY,parent_style,Root
70,826940,selling_style,826940_DEVSTY
71,826940_1Y9,color_style,826940
72,722691192146,size_style,826940_1Y9
73,722691192153,size_style,826940_1Y9
74,722691192122,size_style,826940_1Y9
75,722691192139,size_style,826940_1Y9
76,T9419_DEVSTY,parent_style,Root
77,T9419,selling_style,T9419_DEVSTY
78,T9419_IRJ,color_style,T9419
79,727271919519,size_style,T9419_IRJ
80,727271919472,size_style,T9419_IRJ
81,727271919489,size_style,T9419_IRJ
82,727271919502,size_style,T9419_IRJ
83,727271919465,size_style,T9419_IRJ
84,727271919496,size_style,T9419_IRJ
85,GT03_Y03573_DEVSTY,parent_style,Root
86,GT03_Y03573,selling_style,GT03_Y03573_DEVSTY
87,GT03_Y03573_Z8C,color_style,GT03_Y03573
88,011919949687,size_style,GT03_Y03573_Z8C
89,011919949656,size_style,GT03_Y03573_Z8C
90,011919949670,size_style,GT03_Y03573_Z8C
91,011919949663,size_style,GT03_Y03573_Z8C
92,011919949694,size_style,GT03_Y03573_Z8C
93,GT18H_586975_DEVSTY,parent_style,Root
94,GT18H_586975,selling_style,GT18H_586975_DEVSTY
95,GT18H_586975_001,color_style,GT18H_586975
96,194959495892,size_style,GT18H_586975_001
97,194959495908,size_style,GT18H_586975_001
98,196062042284,size_style,GT18H_586975_001
99,196062042277,size_style,GT18H_586975_001
100,196062042260,size_style,GT18H_586975_001
101,194959495885,size_style,GT18H_586975_001
102,GF88XH_Y07718_DEVSTY,parent_style,Root
103,GF88XH_Y07718,selling_style,GF88XH_Y07718_DEVSTY
104,GF88XH_Y07718_1IC,color_style,GF88XH_Y07718
105,196062831130,size_style,GF88XH_Y07718_1IC
106,196062831086,size_style,GF88XH_Y07718_1IC
107,196062831123,size_style,GF88XH_Y07718_1IC
108,196062831093,size_style,GF88XH_Y07718_1IC
109,196062831116,size_style,GF88XH_Y07718_1IC
110,196062831147,size_style,GF88XH_Y07718_1IC
111,196062831109,size_style,GF88XH_Y07718_1IC
112,2284MM_DEVSTY,parent_style,Root
113,2284MM,selling_style,2284MM_DEVSTY
114,2284MM_E2Z,color_style,2284MM
